,Comment,Emotion,Comment_clean
2848,ive always heard choose one feauture to play up eyes or lips then tone down the other feautures and i love this rule i feel envious of selena here she is soo pretty she has lovely dark hair and great eyes she can wear such a wide colour range,anger,i have always heard choose one feauture to play up eyes or lips then tone down the other feautures and i love this rule i feel envious of selena here she is soo pretty she has lovely dark hair and great eyes she can wear such a wide colour range
2849,im really excited for her birthday but feeling super nostalgic about it,joy,i am really excited for her birthday but feeling super nostalgic about it
2850,i feel like i need to cry these past few days and it relieved me that i could cry that much of tears today haha,joy,i feel like i need to cry these past few days and it relieved me that i could cry that much of tears today haha
2851,i feel a bit uncertain really shes a nice girl and good friend material,fear,i feel a bit uncertain really shes a nice girl and good friend material
2852,i have a feeling something startled her but either way she started on my shoulder and ended up across the room a very slow flutter mind you,fear,i have a feeling something startled her but either way she started on my shoulder and ended up across the room a very slow flutter mind you
2853,i am not feeling too super,joy,i am not feeling too super
2854,i am beginning to feel that theres a good chance i might pass,joy,i am beginning to feel that there is a good chance i might pass
2855,i ask about his wife annulment case he feels so irritated and kept on telling me it is on the process,anger,i ask about his wife annulment case he feels so irritated and kept on telling me it is on the process
2856,i feel pretty eager to get it done as i have a fun plan for quilting it,joy,i feel pretty eager to get it done as i have a fun plan for quilting it
2857,i had thought but i feel scared and somewhat trepidatious nervous and sad,fear,i had thought but i feel scared and somewhat trepidatious nervous and sad
2858,i finished blogging i was feeling shaky and checked my level to see a,fear,i finished blogging i was feeling shaky and checked my level to see a
2859,i could find another reason i m new in the area and i feel less intimidated with a simple tool that i can understand,fear,i could find another reason i am new in the area and i feel less intimidated with a simple tool that i can understand
2860,i got to chat with rustie dean from my hometown moose jaw and everyone made me feel so welcomed and comfortable,joy,i got to chat with rustie dean from my hometown moose jaw and everyone made me feel so welcomed and comfortable
2861,i feel out of place posting here since i feel so hesitant to join aa full force but i could use some insight from the people on the inside,fear,i feel out of place posting here since i feel so hesitant to join aa full force but i could use some insight from the people on the inside
2862,i was for awhile and i started feeling irritated and annoyed each time one of my kids filled up their pants again,anger,i was for awhile and i started feeling irritated and annoyed each time one of my kids filled up their pants again
2863,i am currently feeling very aggravated,anger,i am currently feeling very aggravated
2864,i came away from the experience feeling rather confused and it left a sour taste in my mouth,fear,i came away from the experience feeling rather confused and it left a sour taste in my mouth
2865,i started feeling intimidated by the thought,fear,i started feeling intimidated by the thought
2866,i feel disgusted just looking at that number,anger,i feel disgusted just looking at that number
2867,i feel virtuous for going to spin class then driving all the way to blackburn in the manual unsupervised and sucessfully handbrake starting,joy,i feel virtuous for going to spin then driving all the way to blackburn in the manual unsupervised and sucessfully handbrake starting
2868,this happened when i could not get into the school i had initially wanted,anger,this happened when i could not get into the school i had initially wanted
2869,i feel that i can answer in a completely un sarcastic way,anger,i feel that i can answer in a completely un sarcastic way
2870,i woke up feeling incredibly content amp optimistic today however i woke up with a terrible cold and a complete lack of energy,joy,i woke up feeling incredibly amp optimistic today however i woke up with a terrible cold and a complete lack of energy
2871,i feel very agitated just sitting here,fear,i feel very agitated just sitting here
2872,i am feeling shaky and weak,fear,i am feeling shaky and weak
2873,i feel a tranquil and eloquent charm his praise array delights me thought of legard but he loved me not,joy,i feel a tranquil and eloquent charm his praise array delights me thought of legard but he loved me not
2874,i don t know what it feels like to be in love so i m starting to get scared that i don t actually love him,fear,i do not know what it feels like to be in love so i am starting to get scared that i do not actually love him
2875,i want to say that i feel as though i dont play a really vital role in anyones life with the exception of one friend,joy,i want to say that i feel as though i do not play a really vital role in anyones life with the exception of one friend
2876,i am new to this so feels kind of strange but i will push through it,fear,i am new to this so feels kind of strange but i will push through it
2877,i feel pretty tortured because i work a job and often the inspiration strikes while im at work,anger,i feel pretty tortured because i work a job and often the inspiration strikes while i am at work
2878,i feel special now its just fun to say lol amvassago of the i just cant stop laughing when ever i read something and then i see beefy amkris toshibalol amits an epic word so is beef cake amvassago of the nooo,joy,i feel special now its just fun to say lol amvassago of the i just cant stop laughing when ever i read something and then i see beefy amkris toshibalol amits an epic word so is beef cake amvassago of the nooo
2879,im feeling pissed off about my aac or feeling kind of miserable and frustrated with life this whole week,anger,i am feeling pissed off about my aac or feeling kind of miserable and frustrated with life this whole week
2880,ive clawed time back and i still feel strong,joy,i have clawed time back and i still feel strong
2881,i also chat when i feel frustrated with guys but now i think about my future husband,anger,i also chat when i feel frustrated with guys but now i think about my future husband
2882,i do feel apprehensive before meeting someone new particularly in a group situation but i just sign up for everything i can and hope that i ll have found the courage to do it by the time it comes round and i always have so far,fear,i do feel apprehensive before meeting someone new particularly in a group situation but i just sign up for everything i can and hope that i will have found the courage to do it by the time it comes round and i always have so far
2883,i feel each time one of my posts gets massively downvoted pagetitle rugmi popular images of the now,joy,i feel each time one of my posts gets massively downvoted pagetitle rugmi popular images of the now
2884,i noticed earlier not involved in the group s turn to speak in front of the class and you could feel how nervous he was,fear,i noticed earlier not involved in the group s turn to speak in front of the and you could feel how nervous he was
2885,i feel tortured by something,anger,i feel tortured by something
2886,i am wondering if i am feeling brave enough to make them for gifts,joy,i am wondering if i am feeling brave enough to make them for gifts
2887,i know that i will never see this place again and that would break my heart had not a thick layer of moss encased it in a thick shell muffling all other sharper feelings pleasant or painful,joy,i know that i will never see this place again and that would break my heart had not a thick layer of moss encased it in a thick shell muffling all other sharper feelings pleasant or painful
2888,i did wake up feeling pretty energetic so thats a positive anyway,joy,i did wake up feeling pretty energetic so that is a positive anyway
2889,i did feel unsure about it but thanks to l a lot of people liked it,fear,i did feel unsure about it but thanks to l a lot of people liked it
2890,i feel contented small old rich tired and happy,joy,i feel contented small old rich tired and happy
2891,i am appalled that i feel violent toward another human being,anger,i am appalled that i feel violent toward another human being
2892,i feel paranoid because nobody is saying anything,fear,i feel paranoid because nobody is saying anything
2893,i feel so strongly and passionate about so hearing that just made my heart sink,joy,i feel so strongly and passionate about so hearing that just made my heart sink
2894,i feel really petty and immature but i dont want to cheat on greg or end up breaking up because were fighting over the stupid little things,anger,i feel really petty and immature but i do not want to cheat on greg or end up breaking up because were fighting over the stupid little things
2895,i feel like a snow globe that has been all shaken up and i m still waiting for the dust to settle,fear,i feel like a snow globe that has been all shaken up and i am still waiting for the dust to settle
2896,i think i am feeling a little rebellious as i am getting older and i like it,anger,i think i am feeling a little rebellious as i am getting older and i like it
2897,i love lots of different kinds of sports and love hanging out with my friends in my free time i also have an unhealthy up session with greys anatomy im feeling ecstatic about being in ty,joy,i love lots of different kinds of sports and love hanging out with my friends in my free time i also have an unhealthy up session with greys anatomy i am feeling ecstatic about being in ty
2898,im sure that each person has their own complex set of reasons for leaving and chalking it up to one reason or feeling like because they all hated academia is probably a little too simple,anger,i am sure that each person has their own complex set of reasons for leaving and chalking it up to one reason or feeling like because they all hated academia is probably a little too simple
2899,i don t always feel joyful and i quite often throw prayer out the window,joy,i do not always feel joyful and i quite often throw prayer out the window
2900,i guess im feeling generous today and so i have decided to offer a fabulous deal on of my most popular prints at the moment,joy,i guess i am feeling generous today and so i have decided to offer a fabulous deal on of my most popular prints at the moment
2901,i feel like i enter his class petrified that im going to do or say something that will make him think less of me,fear,i feel like i enter his petrified that i am going to do or say something that will make him think less of me
2902,i feel like i m watching another copy of my beloved son created for the english speaking world being wonderful clever and delightful in new and different ways,joy,i feel like i am watching another copy of my beloved son created for the english speaking world being wonderful clever and delightful in new and different ways
2903,im feeling rather pleased with myself tonight because i did that,joy,i am feeling rather pleased with myself tonight because i did that
2904,i just didnt feel like taking her bitchy attitude,anger,i just did not feel like taking her bitchy attitude
2905,i feel a little bit brave,joy,i feel a little bit brave
2906,i now feel everythings been resolved were psychically galvanised and prepared to wrestle the world to the ground,joy,i now feel everythings been resolved were psychically galvanised and prepared to wrestle the world to the ground
2907,i hope i would be able to understand and not make my friend feel pressured into doing anything they did not want to do,fear,i hope i would be able to understand and not make my friend feel pressured into doing anything they did not want to do
2908,i feel excited about what im doing again i feel like i have a ton of catching up to do,joy,i feel excited about what i am doing again i feel like i have a ton of catching up to do
2909,i needed to get all that out of my head and onto a screen where i can come and reread it later to see that while we have numerous blessings there are some challenges and that its okay for me to feel overwhelmed at times,fear,i needed to get all that out of my head and onto a screen where i can come and reread it later to see that while we have numerous blessings there are some challenges and that its okay for me to feel overwhelmed at times
2910,i am feeling quite smug,joy,i am feeling quite smug
2911,i feel frustrated that its not easier other days i remember that the blessing of research learning trial and error hard won success and patience will give me a far better garden in the long run,anger,i feel frustrated that its not easier other days i remember that the blessing of research learning trial and error hard won success and patience will give me a far better garden in the long run
2912,i feel fine e terminando com eight days a week um ano depois,joy,i feel fine e terminando com eight days a week um ano depois
2913,i know is that afterward i feel a hell of a lot more mellow amp relaxed merely by laughing and the stress of being down in the dumps just melts away,joy,i know is that afterward i feel a hell of a lot more mellow amp relaxed merely by laughing and the stress of being down in the dumps just melts away
2914,i feel honoured and humbled cos hes a legend and one i still look up to,joy,i feel honoured and humbled cos hes a legend and one i still look up to
2915,i began to feel agitated because i wanted to buy ewan some food and medicine before i left,anger,i began to feel agitated because i wanted to buy ewan some food and medicine before i left
2916,i am feeling pretty shaky and sad,fear,i am feeling pretty shaky and sad
2917,i kind of feel like i should be investing in a how to internet for dummies type book but im really not bothered by my status as an internet pariah,anger,i kind of feel like i should be investing in a how to internet for dummies book but i am really not bothered by my status as an internet pariah
2918,i feel fine which is good enough on a sunday evening,joy,i feel fine which is good enough on a sunday evening
2919,ive always been a giver not a taker i feel selfish in considering this idea,anger,i have always been a giver not a taker i feel selfish in considering this idea
2920,i had a feeling this little girl was going to arrive soon but i still felt very unsure of when it would actually happen,fear,i had a feeling this little girl was going to arrive soon but i still felt very unsure of when it would actually happen
2921,i feel resentful toward my wife when weeks go by without sex,anger,i feel resentful toward my wife when weeks go by without sex
2922,i woke up emotionally drained and anxious and immediately my defenses rise and i feel irritated that this is my story my life,anger,i woke up emotionally drained and anxious and immediately my defenses rise and i feel irritated that this is my story my life
2923,i feel with the capacity of a producer and an actor someone like david would be far more accepted when he comes onscreen and shows boxing in a different light,joy,i feel with the capacity of a producer and an actor someone like david would be far more accepted when he comes onscreen and shows boxing in a different light
2924,i feel the most uncertain about the project,fear,i feel the most uncertain about the project
2925,i was trying to determine why i feel so reluctant to actually post what ive written when i finally realized its because i cannot pass something off as a cute idea i had or as a response to something someone could be experiencing,fear,i was trying to determine why i feel so reluctant to actually post what i have written when i finally realized its because i cannot pass something off as a cute idea i had or as a response to something someone could be experiencing
2926,i am learning to step back and call it out to not be too proud to admit that yes i am feeling annoyed and yes i should tell you why,anger,i am learning to step back and call it out to not be too proud to admit that yes i am feeling annoyed and yes i should tell you why
2927,i have been feeling agitated about lately,anger,i have been feeling agitated about lately
2928,i think i would have been feeling less grumpy if i hadnt been up and down throughout the night or my lungs deciding that even though i wasnt that unwell it felt as though something was sitting on my chest and flattened me,anger,i think i would have been feeling less grumpy if i had not been up and down throughout the night or my lungs deciding that even though i was not that unwell it felt as though something was sitting on my chest and flattened me
2929,i will continue to struggle with experiencing normal feelings and the sense theyre chipping away at precious time,joy,i will continue to struggle with experiencing normal feelings and the sense they are chipping away at precious time
2930,i have begun to feel irrationally resentful and angry towards people,anger,i have begun to feel irrationally resentful and angry towards people
2931,i suppose thats wonderful because it means that they can learn so much so quickly and also make me feel like an idiot much the way i did to my parents when they couldnt figure out how to leave an outgoing message on the answering machine,joy,i suppose that is wonderful because it means that they can learn so much so quickly and also make me feel like an idiot much the way i did to my parents when they could not figure out how to leave an outgoing message on the answering machine
2932,i feel just as determined as ever if not more,joy,i feel just as determined as ever if not more
2933,i start to feel happy and then i think of how lonely my cat feels,joy,i start to feel happy and then i think of how lonely my cat feels
2934,i aint feeling it this is where been carefree deffinately is worrying in its self,joy,i aint feeling it this is where been carefree deffinately is worrying in its self
2935,i feel stunningly elegant tonight darling,joy,i feel stunningly elegant tonight darling
2936,i dont want to wax them off and draw them in or anything i just need to not have a unibrow and maybe get rid of the few spare hairs creeping down toward my eyelid if im feeling brave,joy,i do not want to wax them off and draw them in or anything i just need to not have a unibrow and maybe get rid of the few spare hairs creeping down toward my eyelid if i am feeling brave
2937,i am feeling highly frustrated because i had worked a long day and just wanted to get home and take a shower and eat my snacks and listen to some music,anger,i am feeling highly frustrated because i had worked a long day and just wanted to get home and take a shower and eat my snacks and listen to some music
2938,i feel privileged to be amongst this new culture and learn new things,joy,i feel privileged to be amongst this new culture and learn new things
2939,i would feel terrified for them and enjoy this movie a little better,fear,i would feel terrified for them and enjoy this movie a little better
2940,i feel thrilled with your presence in your eyes i feel the belief in peace in sincerity,joy,i feel thrilled with your presence in your eyes i feel the belief in peace in sincerity
2941,im feeling the moxie fab love cath script src http www,joy,i am feeling the moxie fab love cath
2942,im feeling lucky width li style border px list style outside margin px px,joy,i am feeling lucky li style border px list style outside margin px px
2943,im so excited but at the same time i feel a little nervous,fear,i am so excited but at the same time i feel a little nervous
2944,i feel like throughout my life to this point in time i can say that ive fucked quite a few people,anger,i feel like throughout my life to this point in time i can say that i have fucked quite a few people
2945,i feel uncertain of how i can keep my personal development of fitness and health going in the right direction,fear,i feel uncertain of how i can keep my personal development of fitness and health going in the right direction
2946,i still feel it does the genre a disservice when stories are resolved artifically,joy,i still feel it does the genre a disservice when stories are resolved artifically
2947,i feel petty jealousy or anger yesterday in the face of my wifes happiness and our decision to chaperone a trip with my sons school,anger,i feel petty jealousy or anger yesterday in the face of my wifes happiness and our decision to chaperone a trip with my sons school
2948,i wasnt feeling mad at god or angry for him allowing this to happen to me i was just sad,anger,i was not feeling mad at god or angry for him allowing this to happen to me i was just sad
2949,i am feeling that he does i wonder if such a dangerous place could be settled with the mentality that the enmayi have to bring to the possibility,anger,i am feeling that he does i wonder if such a dangerous place could be settled with the mentality that the enmayi have to bring to the possibility
2950,i am feeling restless for some reason today,fear,i am feeling restless for some reason today
2951,i start to feel agitated inside,anger,i start to feel agitated inside
2952,i could wear on a casual shopping trip to feel fabulous without even trying,joy,i could wear on a casual shopping trip to feel fabulous without even trying
2953,im not emo ing no no no haha i am feeling happy instead for being able to meet up with them,joy,i am not emo ing no no no haha i am feeling happy instead for being able to meet up with them
2954,i don t know it s just that it was like on top of our head so much of yesterday that it was really bothersome and we re still feeling a little mad about it,anger,i do not know it s just that it was like on top of our head so much of yesterday that it was really bothersome and we re still feeling a little mad about it
2955,i was snapping at everybody and feeling very grumpy in general,anger,i was snapping at everybody and feeling very grumpy in general
2956,im super annoyed cause it hurts all the time cause i cant do my complete manicure and feel like my hands are pretty and i am kind of scared on how long this will take to heal and for my nail to grow again to stick on my finger again,fear,i am super annoyed because it hurts all the time because i cant do my complete manicure and feel like my hands are pretty and i am kind of scared on how long this will take to heal and for my nail to grow again to stick on my finger again
2957,i don t want to feel annoyed resentful or angry at the fact that he s already had the experience of having and raising kids,anger,i do not want to feel annoyed resentful or angry at the fact that he s already had the experience of having and raising kids
2958,i can feel the frantic beat of his heart but cookie s voice is surprisingly clear,fear,i can feel the frantic beat of his heart but cookie s voice is surprisingly clear
2959,im still feeling annoyed though,anger,i am still feeling annoyed though
2960,ive had a rather average career because i decided to work less to earn less no rolex anywhere to be seen but have managed to write and even publish some of the short story collections and novels i have in my mind and on my drafts today i will feel successful,joy,i have had a rather average career because i decided to work less to earn less no rolex anywhere to be seen but have managed to write and even publish some of the short story collections and novels i have in my mind and on my drafts today i will feel successful
2961,i have made a few sets of his and hers wedding rings recently and i always feel so honored to be asked to make what is probably the most personal piece of jewellery that anyone ever buys,joy,i have made a few sets of his and hers wedding rings recently and i always feel so honored to be asked to make what is probably the most personal piece of jewellery that anyone ever buys
2962,i can hear the hum you make at the feeling of my warmth and my legs shift a little in a strange need,fear,i can hear the hum you make at the feeling of my warmth and my legs shift a little in a strange need
2963,im feeling a little apprehensive about this party,fear,i am feeling a little apprehensive about this party
2964,i feel that the session was useful and gave me tools i need to move forward in my life,joy,i feel that the session was useful and gave me tools i need to move forward in my life
2965,i just feel like weve been living in a weird time warp like its only wednesday,fear,i just feel like we have been living in a weird time warp like its only wednesday
2966,i was that i bombed that first interview i left the second interview feeling pretty fan freaking tastic,joy,i was that i bombed that first interview i left the second interview feeling pretty fan freaking tastic
2967,i can tell most of the time what shes really feeling and she was being really sincere,joy,i can tell most of the time what shes really feeling and she was being really sincere
2968,i feel like im more hated than celebrated and i cant wait till the day i can say i made it,anger,i feel like i am more hated than celebrated and i cant wait till the day i can say i made it
2969,i just grab something and hit myself just to feel pain damn i know the risks and injuries that might occur i know its dangerous,anger,i just grab something and hit myself just to feel pain damn i know the risks and injuries that might occur i know its dangerous
2970,i feel about myself is so fucked up,anger,i feel about myself is so fucked up
2971,i often feel the need to defend just about anything even in casual conversation like blue s from the color code are usually christmas fanatics and i jump in and,joy,i often feel the need to defend just about anything even in casual conversation like blue s from the color code are usually christmas fanatics and i jump in and
2972,i feel hesitant because i don t want to put too much stock in the possibility that maybe today marks the end of a hard year and the start of one that might be better,fear,i feel hesitant because i do not want to put too much stock in the possibility that maybe today marks the end of a hard year and the start of one that might be better
2973,i constantly feel lied to and wronged by them i love these people to death,anger,i constantly feel lied to and wronged by them i love these people to death
2974,im feeling afraid,fear,i am feeling afraid
2975,im particularly feeling pressured to act and behave in ways that are culturally accepted and expected of me,fear,i am particularly feeling pressured to act and behave in ways that are culturally accepted and expected of me
2976,i think that even just understanding that there s that history behind it it lends to the explanation of where it s being projected from so it s kind of important to some degree and i never feel offended by people questioning that,anger,i think that even just understanding that there is that history behind it it lends to the explanation of where it s being projected from so it s kind of important to some degree and i never feel offended by people questioning that
2977,i would cry scream kick at the door and feel terrified,fear,i would cry scream kick at the door and feel terrified
2978,im feeling rebellious for the sake of being rebellious,anger,i am feeling rebellious for the sake of being rebellious
2979,i was feeling very festive i decided to paint my nails for the holiday events,joy,i was feeling very festive i decided to paint my nails for the holiday events
2980,i was feeling joy happiness ecstasy triumph or love i felt contented somehow,joy,i was feeling joy happiness ecstasy triumph or love i felt contented somehow
2981,i feel overwhelmed or a little blue usually around that time of the month but i manage those feelings well,fear,i feel overwhelmed or a little blue usually around that time of the month but i manage those feelings well
2982,i feel like a greedy easily pound overweight american,anger,i feel like a greedy easily pound overweight american
2983,i hurt their feelings for refusing to listen to their spiteful hurtful sniping at others,anger,i hurt their feelings for refusing to listen to their spiteful hurtful sniping at others
2984,i feel threatened by not talking about it,fear,i feel threatened by not talking about it
2985,i know and trust how i feel but i generally shy away from it with strangers,fear,i know and trust how i feel but i generally shy away from it with strangers
2986,i feel insulted but i go out with him anyway,anger,i feel insulted but i go out with him anyway
2987,im feeling so insecure financially right now that i dont want to spend the,fear,i am feeling so insecure financially right now that i do not want to spend the
2988,i want others to be happy but does that mean i step back yet again it feels like and allow them to be happy because they deserve it or do they even deserve it or do i,joy,i want others to be happy but does that mean i step back yet again it feels like and allow them to be happy because they deserve it or do they even deserve it or do i
2989,i am so happy but yet i feel enraged,anger,i am so happy but yet i feel enraged
2990,i am feeling a bit agitated or stressed i find a surprising amount of relief from cleaning and decluttering my house or even just a small space like a closet,fear,i am feeling a bit agitated or stressed i find a surprising amount of relief from cleaning and decluttering my house or even just a small space like a closet
2991,i feel so hesitant posting them,fear,i feel so hesitant posting them
2992,i look out on this scene i think about how cute it is and enjoy a swelling feeling of pride in the playful delight of my dog,joy,i look out on this scene i think about how cute it is and enjoy a swelling feeling of pride in the playful delight of my dog
2993,i feel heartless in saying so though,anger,i feel heartless in saying so though
2994,i really hate that feeling when youre unsure about something,fear,i really hate that feeling when you are unsure about something
2995,i feel agitated and jumpy and like i just ate a bottle of caffeine pills,fear,i feel agitated and jumpy and like i just ate a bottle of caffeine pills
2996,i almost didn t want to post these because i can sometimes feel intimidated by the amazingness of other mom bloggers who seem to have perfectly organized homes and entertained children,fear,i almost did not want to post these because i can sometimes feel intimidated by the amazingness of other mom bloggers who seem to have perfectly organized homes and entertained children
2997,every time i meet a certain dog that has once bitten me,fear,every time i meet a certain dog that has once bitten me
2998,i feel really honored and excited to have met her,joy,i feel really honored and excited to have met her
2999,i feel relieved because finally i can move on without a single tear shed,joy,i feel relieved because finally i can move on without a single tear shed
3000,i must admit no matter how early i start playing christmas music and doing my holiday shopping the tree makes everything feel so much more holly and jolly,joy,i must admit no matter how early i start playing christmas music and doing my holiday shopping the tree makes everything feel so much more holly and jolly
3001,i woke on saturday feeling a little brighter and was very keen to get outdoors after spending all day friday wallowing in self pity,joy,i woke on saturday feeling a little brighter and was very keen to get outdoors after spending all day friday wallowing in self pity
3002,i feel like our relationship revovles around sex and when we do he wants it to be really adventurous trying new things using toys etc ansi just find it exhausting trying to keep up,joy,i feel like our relationship revovles around sex and when we do he wants it to be really adventurous trying new things using toys etc ansi just find it exhausting trying to keep up
3003,i feel like i can take on the world and even if it says no to me i wont be afraid and will not be discouraged,fear,i feel like i can take on the world and even if it says no to me i wont be afraid and will not be discouraged
3004,i havent known sue anything like as long as bloater and lisa but i feel like i have you know one of those people you meet and you just click with you can have grumpy old people conversations straight away with them but then roll around laughing the next minute well thats sue,anger,i have not known sue anything like as long as bloater and lisa but i feel like i have you know one of those people you meet and you just click with you can have grumpy old people conversations straight away with them but then roll around laughing the next minute well that is sue
3005,i did manage two short runs and a walk but today im back to feeling just shy of awful,fear,i did manage two short runs and a walk but today i am back to feeling just shy of awful
3006,i feel fucked is available to pre order from a href http churchoffuck,anger,i feel fucked is available to pre order from a churchoffuck
3007,i started to feel that irritated feeling,anger,i started to feel that irritated feeling
3008,ive planned and there are still days when i feel stressed to the point of tears and helpless but the good far outweighs the bad and i can honestly say that im happy in this moment,anger,i have planned and there are still days when i feel stressed to the point of tears and helpless but the good far outweighs the bad and i can honestly say that i am happy in this moment
3009,first anatomy lesson,anger,first anatomy lesson
3010,i feel like i had so much to write then got distracted by my home on a wednesday evening challenge and have therefore lost my train of thought,anger,i feel like i had so much to write then got distracted by my home on a wednesday evening challenge and have therefore lost my train of thought
3011,i feel a cold coming on or drink a little extra xango juice when i am stiff and sore,anger,i feel a cold coming on or drink a little extra xango juice when i am stiff and sore
3012,i guess the mild pain had made me feel even more impatient to just get on with it,anger,i guess the mild pain had made me feel even more impatient to just get on with it
3013,i saw that i had the last spot on the tour and that i was going to be wrapping the whole thing up i must admit to feeling a little intimidated,fear,i saw that i had the last spot on the tour and that i was going to be wrapping the whole thing up i must admit to feeling a little intimidated
3014,i feel like i ve been distracted all day or i ve been dealing more with fiddly necessities than actual creative work then i ll feel like the day s been wasted,anger,i feel like i have been distracted all day or i have been dealing more with fiddly necessities than actual creative work then i will feel like the day s been wasted
3015,i continue to feel nervous inside and long to talk sensibly even just one time around someone its so wrong to have these feelings for on so many levels i have no clue,fear,i continue to feel nervous inside and long to talk sensibly even just one time around someone its so wrong to have these feelings for on so many levels i have no clue
3016,i find myself feeling irritable or depleted i run through a mental checklist have i worked out,anger,i find myself feeling irritable or depleted i run through a mental checklist have i worked out
3017,i was feeling threatened that it might be taken away from me,fear,i was feeling threatened that it might be taken away from me
3018,i remember feeling uncertain about myself when i was young and especially when i became a teenager,fear,i remember feeling uncertain about myself when i was young and especially when i became a teenager
3019,i have found the perfect remedy for anyone feeling stressed or conflicted about the future its the a href http www,anger,i have found the perfect remedy for anyone feeling stressed or conflicted about the future its the a
3020,i didnt feel insulted though,anger,i did not feel insulted though
3021,i feel offended when friends especially married friends somehow judge me for not being married yet,anger,i feel offended when friends especially married friends somehow judge me for not being married yet
3022,im feeling insecure and sad because i dont know what to do with my book,fear,i am feeling insecure and sad because i do not know what to do with my book
3023,i feel like a little kid whose mom is proud that they touched the soccer ball once during the game,joy,i feel like a little kid whose mom is proud that they touched the soccer ball once during the game
3024,i am comforted knowing that i can use my gun for my protection and will not be put behind bars for using it when i feel threatened,fear,i am comforted knowing that i can use my gun for my protection and will not be put behind bars for using it when i feel threatened
3025,i feel about this totally and completely pissed angry sad disappointed and absolutely furious at tough mudder the biggest rip off on planet earth,anger,i feel about this totally and completely pissed angry sad disappointed and absolutely furious at tough mudder the biggest rip off on planet earth
3026,im feeling virtuous i do a spinach feta cranberry salad with balsamic viniagrette,joy,i am feeling virtuous i do a spinach feta cranberry salad with balsamic viniagrette
3027,i seriously still feel so insecure and dreadful that the new guy would suddenly pop back up and change things,fear,i seriously still feel so insecure and dreadful that the new guy would suddenly pop back up and change things
3028,i know that feeling for sure,joy,i know that feeling for sure
3029,i think im just being stupid feeling nervous,fear,i think i am just being stupid feeling nervous
3030,i feel we re seeing now is a clash between those who are very alarmed at the changes in our planet and those who are rather laconic about the whole thing,fear,i feel we re seeing now is a clash between those who are very alarmed at the changes in our planet and those who are rather laconic about the whole thing
3031,i feel a remembrance of the strange by justin aryiku falls into the latter category,fear,i feel a remembrance of the strange by justin aryiku falls into the latter category
3032,i feel the echoes of the divine so very close,joy,i feel the echoes of the divine so very close
3033,i like to participate in sketch challenges from time to time when im feeling inspired,joy,i like to participate in sketch challenges from time to time when i am feeling inspired
3034,in sweden,fear,in sweden
3035,i also feel aggravated i have an embarassing reason i dont want to go home yet i dreaded coming here and now im dreading leaving here,anger,i also feel aggravated i have an embarassing reason i do not want to go home yet i dreaded coming here and now i am dreading leaving here
3036,i see lovers i feel envious i want someone to be there for me,anger,i see lovers i feel envious i want someone to be there for me
3037,i feel offended and sad because they do not know their ignorance,anger,i feel offended and sad because they do not know their ignorance
3038,i feel she s frantic about controlling her message wary of others readings fearful of what meaning they might find and or create in her performance,fear,i feel she s frantic about controlling her message wary of others readings fearful of what meaning they might find and or create in her performance
3039,im feeling that kind of feeling when you are confused yet like bleh,fear,i am feeling that kind of feeling when you are confused yet like bleh
3040,i have the feeling she was amused and delighted,joy,i have the feeling she was amused and delighted
3041,when it became clear that a man had used many people sexually and psychologically,anger,when it became clear that a man had used many people sexually and psychologically
3042,i feel paranoid but atleast now i get some comfort with dd she is the only person that i can talk to and not feel lie total crap around she is the nicest kindest most caring person i have ever met and i dont think that i will ever find anyone as great as her in my life,fear,i feel paranoid but atleast now i get some comfort with dd she is the only person that i can talk to and not feel lie total crap around she is the nicest kindest most caring person i have ever met and i do not think that i will ever find anyone as great as her in my life
3043,i had climbed on a cherry tree alone and there was a thick caterpillar beside my fingers i feel disgusted by caterpillars and snakes i was terribly afraid of the caterpillar crawling on my fingers out of the fear i was almost unable to climb down,fear,i had climbed on a cherry tree alone and there was a thick caterpillar beside my fingers i feel disgusted by caterpillars and snakes i was terribly afraid of the caterpillar crawling on my fingers out of the fear i was almost unable to climb down
3044,i think it is possible maybe i am denying it maybe i am not opening myself up to the whole possibility maybe it is only just now i have realised that it is possible to give a man men that power over me to make me feel shaken in my leather sandals,fear,i think it is possible maybe i am denying it maybe i am not opening myself up to the whole possibility maybe it is only just now i have realised that it is possible to give a man men that power over me to make me feel shaken in my leather sandals
3045,i feel like a person who tortured somebody because i like to see the fans confused and embarrassed at the same time,fear,i feel like a person who tortured somebody because i like to see the fans confused and embarrassed at the same time
3046,i wasnt feeling well yesterday and today has been randomly busy,joy,i was not feeling well yesterday and today has been randomly busy
3047,i feel jealous when i know he go out with other women,anger,i feel jealous when i know he go out with other women
3048,i stand by that he is actually annoying giggle i also acknowledge that i have been feeling very dissatisfied,anger,i stand by that he is actually annoying giggle i also acknowledge that i have been feeling very dissatisfied
3049,i feel invigorated by the,joy,i feel invigorated by the
3050,i feel so selfish but i just want to keep my baby close for awhile and not let the rest of the world in unless i feel like it,anger,i feel so selfish but i just want to keep my baby close for awhile and not let the rest of the world in unless i feel like it
3051,i really do feel for kids who are tortured in highschool,fear,i really do feel for kids who are tortured in highschool
3052,i rid myself of many bad habits only to fall back into them when i feel insecure or vulnerable,fear,i rid myself of many bad habits only to fall back into them when i feel insecure or vulnerable
